MODE 0
BALL 70
STARS 0/4600/7000
ADDLINE 0,0,0 3,94,1 12,0,2 0,0,0 0,0,0 3,94,1 0,0,0 1,94,1 0,0,0
ADDLINE 12,0,2 1,95,1 0,0,0 1,95,1 4,95,1 1,95,1 1,95,1 1,95,1 0,0,0
ADDLINE 12,0,2 1,96,1 0,0,0 1,96,1 1,96,1 2,96,1 1,96,1 1,96,1 0,0,0
ADDLINE 12,0,2 2,106,1 0,0,0 1,106,1 1,106,1 1,106,1 2,106,1 5,106,1 0,0,0
ADDLINE 0,0,0 1,107,1 12,0,2 1,107,1 1,107,1 1,107,1 1,107,1 1,107,1 0,0,0
ADDLINE 4,117,1 1,117,1 12,0,2 1,117,1 1,117,1 5,117,1 1,117,1 1,117,1 0,0,0
ADDLINE 0,0,0 0,0,0 0,0,0 0,0,0 0,0,0 1,127,1 12,0,2 1,127,1 0,0,0
ADDLINE 0,0,0 1,138,1 1,138,1 5,138,1 1,138,1 1,138,1 12,0,2 2,138,1 1,138,1
ADDLINE 0,0,0 4,111,1 1,111,1 2,111,1 1,111,1 1,111,1 12,0,2 0,0,0 0,0,0
ADDLINE 3,122,1 0,0,0 0,0,0 0,0,0 1,122,1 0,0,0 12,0,2 0,0,0 0,0,0
ADDLINE 1,133,1 1,133,1 1,133,1 0,0,0 1,133,1 12,0,2 4,133,1 1,133,1 1,133,1
ADDLINE 1,144,1 0,0,0 1,144,1 0,0,0 12,0,2 0,0,0 5,144,1 0,0,0 0,0,0
ADDLINE 1,115,1 0,0,0 1,115,1 4,115,1 1,115,1 1,115,1 1,115,1 12,0,2 1,115,1
ADDLINE 3,127,1 0,0,0 4,127,1 0,0,0 12,0,2 0,0,0 1,127,1 0,0,0 1,127,1
ADDLINE 1,138,1 0,0,0 5,138,1 0,0,0 1,138,1 12,0,2 1,138,1 0,0,0 1,138,1
17,84,1 0,0,0 1,84,1 0,0,0 1,84,1 12,0,2 1,84,1 6,84,1 1,84,1
0,0,0 0,0,0 1,83,1 0,0,0 0,0,0 12,0,2 1,83,1 5,83,1 1,83,1
16,78,1 1,78,1 1,78,1 1,78,1 4,78,1 12,0,2 2,78,1 1,78,1 4,78,1
1,81,1 14,0,2 0,0,0 0,0,0 22,0,2 12,0,2 0,0,0 12,0,2 1,81,1
1,77,1 1,77,1 3,77,1 1,77,1 2,77,1 12,0,2 1,77,1 1,77,1 15,0,2
1,79,1 0,0,0 1,79,1 3,79,1 1,79,1 11,0,2 1,79,1 1,79,1 4,79,1
0,0,0 0,0,0 0,0,0 0,0,0 0,0,0 0,0,0 0,0,0 0,0,0 0,0,0
0,0,0 0,0,0 0,0,0 0,0,0 0,0,0 0,0,0 0,0,0 0,0,0 0,0,0
0,0,0 0,0,0 0,0,0 0,0,0 0,0,0 0,0,0 0,0,0 0,0,0 0,0,0
