MODE 0
BALL 70
STARS 0/3900/5600
ADDLINE 12,0,2 0,0,0 0,0,0 1,84,1 4,84,1 0,0,0 0,0,0 1,84,1 0,0,0
ADDLINE 1,81,1 1,81,1 1,81,1 1,81,1 2,81,1 2,81,1 12,0,2 1,81,1 1,81,1
ADDLINE 0,0,0 1,86,1 5,86,1 0,0,0 12,0,2 0,0,0 0,0,0 0,0,0 1,86,1
ADDLINE 1,90,1 1,90,1 1,90,1 1,90,1 1,90,1 2,90,1 1,90,1 12,0,2 5,90,1
ADDLINE 1,96,1 1,96,1 1,96,1 0,0,0 1,96,1 12,0,2 2,96,1 0,0,0 1,96,1
ADDLINE 1,105,1 1,105,1 1,105,1 0,0,0 4,105,1 12,0,2 1,105,1 0,0,0 5,105,1
ADDLINE 4,114,1 1,114,1 1,114,1 0,0,0 1,114,1 12,0,2 0,0,0 0,0,0 0,0,0
ADDLINE 2,118,1 1,118,1 1,118,1 12,0,2 1,118,1 4,118,1 1,118,1 1,118,1 1,118,1
ADDLINE 0,0,0 0,0,0 1,100,1 0,0,0 0,0,0 12,0,2 3,100,1 0,0,0 1,100,1
ADDLINE 1,110,1 0,0,0 1,110,1 1,110,1 0,0,0 0,0,0 0,0,0 12,0,2 1,110,1
ADDLINE 1,120,1 0,0,0 0,0,0 5,120,1 0,0,0 12,0,2 1,120,1 3,120,1 1,120,1
ADDLINE 0,0,0 1,130,1 12,0,2 1,130,1 3,130,1 1,130,1 1,130,1 1,130,1 4,130,1
ADDLINE 0,0,0 0,0,0 0,0,0 1,104,1 1,104,1 12,0,2 1,104,1 1,104,1 1,104,1
ADDLINE 1,115,1 2,115,1 0,0,0 3,115,1 0,0,0 12,0,2 1,115,1 1,115,1 1,115,1
ADDLINE 0,0,0 0,0,0 0,0,0 0,0,0 12,0,2 1,125,1 4,125,1 4,125,1 1,125,1
1,75,1 8,0,2 0,0,0 0,0,0 12,0,2 0,0,0 1,75,1 4,75,1 1,75,1
1,74,1 0,0,0 2,74,1 0,0,0 12,0,2 1,74,1 1,74,1 1,74,1 1,74,1
1,73,1 0,0,0 1,73,1 16,73,1 0,0,0 12,0,2 1,73,1 20,73,1 3,73,1
3,72,1 0,0,0 0,0,0 2,72,1 1,72,1 12,0,2 0,0,0 8,0,2 0,0,0
1,71,1 1,71,1 12,0,2 1,71,1 6,71,1 4,71,1 1,71,1 0,0,0 8,0,2
1,70,1 1,70,1 0,0,0 12,0,2 0,0,0 1,70,1 0,0,0 1,70,1 1,70,1
0,0,0 0,0,0 0,0,0 0,0,0 0,0,0 0,0,0 0,0,0 0,0,0 0,0,0
0,0,0 0,0,0 0,0,0 0,0,0 0,0,0 0,0,0 0,0,0 0,0,0 0,0,0
0,0,0 0,0,0 0,0,0 0,0,0 0,0,0 0,0,0 0,0,0 0,0,0 0,0,0
