MODE 0
BALL 90
STARS 0/6000/8500
ADDLINE 1,106,1 0,0,0 1,106,1 12,0,2 1,106,1 1,106,1 3,106,1 2,106,1 5,106,1
ADDLINE 1,107,1 0,0,0 0,0,0 0,0,0 0,0,0 0,0,0 12,0,2 1,107,1 1,107,1
ADDLINE 0,0,0 5,108,1 0,0,0 1,108,1 1,108,1 12,0,2 0,0,0 1,108,1 1,108,1
ADDLINE 12,0,2 4,119,1 0,0,0 1,119,1 1,119,1 0,0,0 0,0,0 0,0,0 0,0,0
ADDLINE 5,120,1 0,0,0 0,0,0 3,120,1 1,120,1 1,120,1 12,0,2 1,120,1 0,0,0
ADDLINE 1,131,1 0,0,0 1,131,1 0,0,0 1,131,1 1,131,1 0,0,0 12,0,2 0,0,0
ADDLINE 0,0,0 1,142,1 1,142,1 0,0,0 12,0,2 5,142,1 1,142,1 1,142,1 1,142,1
ADDLINE 8,0,2 0,0,0 0,0,0 1,308,1 12,0,2 1,308,1 1,308,1 1,308,1 1,308,1
ADDLINE 1,124,1 4,124,1 0,0,0 1,124,1 12,0,2 0,0,0 1,124,1 1,124,1 3,124,1
ADDLINE 1,136,1 3,136,1 1,136,1 1,272,1 11,0,2 0,0,0 12,0,2 1,136,1 0,0,0
ADDLINE 1,141,1 1,141,1 1,141,1 1,282,1 12,0,2 1,282,1 1,141,1 1,141,1 1,141,1
ADDLINE 1,152,1 1,152,1 1,152,1 2,152,1 12,0,2 3,152,1 1,152,1 1,152,1 4,152,1
ADDLINE 1,122,1 1,122,1 1,122,1 1,122,1 12,0,2 4,122,1 1,122,1 5,122,1 1,122,1
ADDLINE 12,0,2 0,0,0 0,0,0 0,0,0 0,0,0 0,0,0 0,0,0 1,282,1 0,0,0
ADDLINE 1,153,1 1,153,1 5,153,1 1,153,1 1,153,1 2,153,1 12,0,2 1,306,1 7,0,2
ADDLINE 1,165,1 1,165,1 0,0,0 4,165,1 0,0,0 12,0,2 0,0,0 1,330,1 0,0,0
ADDLINE 1,133,1 1,133,1 0,0,0 1,133,1 1,133,1 1,133,1 12,0,2 1,133,1 1,133,1
ADDLINE 1,145,1 1,145,1 0,0,0 1,145,1 3,145,1 5,145,1 12,0,2 3,145,1 1,145,1
ADDLINE 4,158,1 0,0,0 3,158,1 5,158,1 1,158,1 1,158,1 1,158,1 12,0,2 1,158,1
ADDLINE 1,171,1 0,0,0 1,171,1 1,171,1 1,171,1 1,171,1 1,171,1 12,0,2 3,171,1
ADDLINE 1,131,1 5,131,1 1,131,1 1,131,1 1,131,1 1,131,1 1,131,1 12,0,2 4,131,1
ADDLINE 0,0,0 12,0,2 1,150,1 1,150,1 1,150,1 3,150,1 1,150,1 0,0,0 1,150,1
ADDLINE 1,326,1 8,0,2 1,326,1 1,326,1 1,326,1 1,326,1 1,326,1 12,0,2 1,326,1
ADDLINE 1,177,1 0,0,0 5,177,1 0,0,0 12,0,2 0,0,0 0,0,0 0,0,0 1,177,1
1,95,1 8,0,2 1,95,1 1,95,1 1,95,1 1,95,1 1,95,1 12,0,2 1,95,1
1,94,1 8,0,2 1,94,1 1,94,1 1,94,1 1,94,1 1,94,1 12,0,2 0,0,0
1,89,1 12,0,2 19,89,1 1,89,1 4,89,1 2,89,1 1,89,1 1,89,1 1,89,1
1,92,1 12,0,2 0,0,0 0,0,0 0,0,0 0,0,0 0,0,0 0,0,0 0,0,0
1,87,1 8,0,2 1,87,1 1,87,1 6,87,1 12,0,2 5,87,1 1,87,1 1,87,1
0,0,0 0,0,0 12,0,2 0,0,0 0,0,0 0,0,0 1,90,1 8,0,2 0,0,0
0,0,0 0,0,0 0,0,0 0,0,0 0,0,0 0,0,0 0,0,0 0,0,0 0,0,0
0,0,0 0,0,0 0,0,0 0,0,0 0,0,0 0,0,0 0,0,0 0,0,0 0,0,0
0,0,0 0,0,0 0,0,0 0,0,0 0,0,0 0,0,0 0,0,0 0,0,0 0,0,0
