MODE 0
BALL 90
STARS 0/6100/8700
ADDLINE 16,106,1 17,106,1 17,106,1 17,106,1 17,106,1 17,106,1 17,106,1 17,106,1 17,106,1
ADDLINE 0,0,0 0,0,0 0,0,0 12,0,2 12,0,2 0,0,0 0,0,0 2,107,1 0,0,0
ADDLINE 0,0,0 1,108,1 1,108,1 12,0,2 3,108,1 5,108,1 0,0,0 0,0,0 0,0,0
ADDLINE 0,0,0 1,119,1 0,0,0 1,119,1 1,119,1 1,119,1 1,119,1 12,0,2 1,119,1
ADDLINE 0,0,0 1,120,1 0,0,0 5,120,1 1,120,1 1,120,1 12,0,2 0,0,0 3,120,1
ADDLINE 0,0,0 0,0,0 0,0,0 12,0,2 4,131,1 3,131,1 1,131,1 1,131,1 1,131,1
ADDLINE 1,142,1 0,0,0 1,142,1 0,0,0 12,0,2 0,0,0 0,0,0 1,142,1 1,142,1
ADDLINE 1,154,1 0,0,0 12,0,2 1,154,1 5,154,1 0,0,0 0,0,0 2,154,1 1,154,1
ADDLINE 3,124,1 0,0,0 1,124,1 1,124,1 12,0,2 0,0,0 3,124,1 1,124,1 1,124,1
ADDLINE 1,129,1 2,129,1 1,129,1 1,129,1 2,129,1 1,129,1 12,0,2 4,129,1 1,129,1
ADDLINE 4,148,1 1,148,1 0,0,0 12,0,2 1,148,1 1,148,1 3,148,1 0,0,0 1,148,1
ADDLINE 1,152,1 1,152,1 12,0,2 1,152,1 1,152,1 1,152,1 3,152,1 1,152,1 1,152,1
ADDLINE 0,0,0 5,128,1 0,0,0 1,128,1 1,128,1 1,128,1 12,0,2 1,128,1 0,0,0
ADDLINE 1,141,1 1,141,1 0,0,0 4,141,1 1,141,1 5,141,1 12,0,2 3,141,1 1,141,1
ADDLINE 0,0,0 0,0,0 0,0,0 0,0,0 12,0,2 0,0,0 0,0,0 1,153,1 1,153,1
ADDLINE 0,0,0 1,165,1 2,165,1 1,165,1 1,165,1 1,165,1 12,0,2 2,165,1 1,165,1
ADDLINE 0,0,0 1,133,1 5,133,1 1,133,1 12,0,2 1,133,1 0,0,0 1,133,1 1,133,1
ADDLINE 1,145,1 1,145,1 1,145,1 4,145,1 0,0,0 1,145,1 12,0,2 1,145,1 4,145,1
ADDLINE 1,151,1 12,0,2 1,151,1 1,151,1 2,151,1 1,151,1 1,151,1 1,151,1 1,151,1
ADDLINE 2,171,1 12,0,2 0,0,0 1,171,1 1,171,1 1,171,1 0,0,0 0,0,0 0,0,0
ADDLINE 1,131,1 12,0,2 5,131,1 4,131,1 1,131,1 1,131,1 1,131,1 5,131,1 1,131,1
ADDLINE 1,150,1 12,0,2 0,0,0 0,0,0 0,0,0 4,150,1 3,150,1 2,150,1 0,0,0
ADDLINE 1,155,1 1,155,1 1,155,1 2,155,1 1,155,1 1,155,1 12,0,2 1,155,1 1,155,1
ADDLINE 0,0,0 0,0,0 0,0,0 1,177,1 0,0,0 0,0,0 12,0,2 1,177,1 0,0,0
20,8,1 3,95,1 1,95,1 0,0,0 5,95,1 12,0,2 1,95,1 1,95,1 1,95,1
21,90,1 0,0,0 0,0,0 0,0,0 1,94,1 0,0,0 0,0,0 12,0,2 1,94,1
0,0,0 12,0,2 1,89,1 18,89,1 1,89,1 1,89,1 4,89,1 1,89,1 5,89,1
0,0,0 0,0,0 1,92,1 2,92,1 3,92,1 1,92,1 6,92,1 12,0,2 2,92,1
0,0,0 0,0,0 1,91,1 1,91,1 5,91,1 1,91,1 1,91,1 12,0,2 1,91,1
0,0,0 12,0,2 0,0,0 0,0,0 0,0,0 0,0,0 1,90,1 0,0,0 1,90,1
0,0,0 0,0,0 0,0,0 0,0,0 0,0,0 0,0,0 0,0,0 0,0,0 0,0,0
0,0,0 0,0,0 0,0,0 0,0,0 0,0,0 0,0,0 0,0,0 0,0,0 0,0,0
0,0,0 0,0,0 0,0,0 0,0,0 0,0,0 0,0,0 0,0,0 0,0,0 0,0,0
