MODE 0
BALL 108
STARS 0/0/12775 35
ADDLINE 17,106,1 17,106,1 17,106,1 17,106,1 17,106,1 17,106,1 17,106,1 16,53,1 12,0,2
ADDLINE 3,107,1 1,107,1 1,107,1 4,107,1 1,107,1 12,0,2 1,214,1 7,0,2 1,107,1
ADDLINE 5,108,1 1,108,1 1,108,1 1,108,1 1,108,1 12,0,2 1,216,1 1,216,1 1,108,1
ADDLINE 1,119,1 5,119,1 1,119,1 4,119,1 1,119,1 12,0,2 1,119,1 1,119,1 1,119,1
ADDLINE 1,120,1 0,0,0 0,0,0 0,0,0 0,0,0 12,0,2 1,120,1 3,120,1 1,120,1
ADDLINE 1,131,1 0,0,0 0,0,0 12,0,2 0,0,0 3,131,1 1,131,1 1,131,1 1,131,1
ADDLINE 1,142,1 1,142,1 1,142,1 1,142,1 0,0,0 0,0,0 0,0,0 12,0,2 1,142,1
ADDLINE 1,154,1 1,154,1 2,154,1 3,154,1 1,154,1 1,154,1 1,154,1 12,0,2 1,154,1
ADDLINE 3,124,1 1,124,1 1,124,1 1,124,1 2,124,1 1,124,1 4,124,1 12,0,2 0,0,0
ADDLINE 12,0,2 1,136,1 1,136,1 1,136,1 1,136,1 3,136,1 1,136,1 1,136,1 3,136,1
ADDLINE 0,0,0 0,0,0 0,0,0 12,0,2 1,148,1 1,148,1 1,148,1 1,148,1 1,148,1
ADDLINE 0,0,0 12,0,2 0,0,0 0,0,0 1,160,1 2,160,1 5,160,1 1,160,1 1,160,1
ADDLINE 0,0,0 0,0,0 12,0,2 0,0,0 1,128,1 1,128,1 3,128,1 5,128,1 1,128,1
ADDLINE 1,141,1 1,282,1 11,0,2 12,0,2 1,141,1 1,141,1 1,282,1 1,282,1 1,141,1
ADDLINE 8,0,2 12,0,2 0,0,0 1,306,1 1,306,1 1,306,1 1,306,1 7,0,2 1,306,1
ADDLINE 0,0,0 0,0,0 12,0,2 10,0,2 1,330,1 1,330,1 1,330,1 1,330,1 1,330,1
ADDLINE 0,0,0 0,0,0 0,0,0 12,0,2 1,266,1 1,133,1 1,133,1 1,133,1 1,133,1
ADDLINE 0,0,0 0,0,0 12,0,2 3,145,1 1,145,1 1,145,1 1,145,1 4,145,1 1,145,1
ADDLINE 1,158,1 0,0,0 1,158,1 0,0,0 3,158,1 12,0,2 5,158,1 0,0,0 1,158,1
ADDLINE 1,171,1 0,0,0 2,171,1 1,171,1 1,171,1 12,0,2 1,171,1 0,0,0 1,171,1
ADDLINE 2,137,1 0,0,0 0,0,0 0,0,0 1,137,1 0,0,0 1,137,1 12,0,2 1,137,1
ADDLINE 1,300,1 10,0,2 1,300,1 0,0,0 1,300,1 12,0,2 1,300,1 0,0,0 1,300,1
ADDLINE 1,163,1 0,0,0 1,326,1 12,0,2 1,163,1 0,0,0 5,163,1 0,0,0 11,0,2
ADDLINE 1,177,1 1,177,1 2,177,1 0,0,0 1,177,1 12,0,2 1,177,1 1,354,1 1,354,1
ADDLINE 0,0,0 12,0,2 2,142,1 0,0,0 1,142,1 0,0,0 1,284,1 0,0,0 0,0,0
ADDLINE 1,310,1 0,0,0 1,310,1 12,0,2 1,310,1 0,0,0 1,310,1 10,0,2 1,310,1
ADDLINE 7,0,2 0,0,0 1,168,1 0,0,0 1,168,1 12,0,2 1,336,1 0,0,0 1,168,1
ADDLINE 1,364,1 1,364,1 1,182,1 1,182,1 1,182,1 12,0,2 1,182,1 5,182,1 3,182,1
ADDLINE 4,146,1 1,146,1 1,146,1 0,0,0 12,0,2 0,0,0 1,146,1 1,146,1 1,146,1
ADDLINE 1,320,1 1,320,1 1,320,1 8,0,2 12,0,2 1,320,1 1,320,1 1,320,1 1,320,1
0,0,0 0,0,0 0,0,0 0,0,0 0,0,0 0,0,0 3,95,1 2,95,1 0,0,0
1,94,1 1,94,1 0,0,0 0,0,0 0,0,0 3,94,1 1,94,1 1,94,1 2,2,1
1,93,1 1,93,1 0,0,0 0,0,0 0,0,0 1,93,1 1,93,1 1,93,1 1,93,1
1,92,1 1,92,1 12,0,2 12,0,2 12,0,2 12,0,2 1,92,1 1,92,1 12,0,2
1,91,1 1,91,1 1,91,1 1,91,1 1,91,1 1,91,1 1,91,1 1,91,1 0,0,0
1,90,1 1,90,1 1,90,1 1,90,1 1,90,1 1,90,1 1,90,1 1,90,1 12,0,2
0,0,0 0,0,0 0,0,0 0,0,0 0,0,0 0,0,0 0,0,0 0,0,0 0,0,0
0,0,0 0,0,0 0,0,0 0,0,0 0,0,0 0,0,0 0,0,0 0,0,0 0,0,0
0,0,0 0,0,0 0,0,0 0,0,0 0,0,0 0,0,0 0,0,0 0,0,0 0,0,0
