MODE 0
BALL 50
STARS 0/1800/2400
ADDLINE 5,44,1 2,44,1 1,44,1 1,44,1 12,0,2 1,44,1 0,0,0 1,44,1 4,44,1
ADDLINE 0,0,0 0,0,0 0,0,0 0,0,0 0,0,0 1,47,1 12,0,2 0,0,0 0,0,0
ADDLINE 0,0,0 1,71,1 1,71,1 1,71,1 1,71,1 1,71,1 5,71,1 1,71,1 12,0,2
3,46,1 1,46,1 0,0,0 0,0,0 12,0,2 0,0,0 0,0,0 5,46,1 1,46,1
1,43,1 5,43,1 4,43,1 1,43,1 1,43,1 1,43,1 12,0,2 0,0,0 1,43,1
1,44,1 12,0,2 0,0,0 15,0,2 1,44,1 0,0,0 1,44,1 0,0,0 1,44,1
1,41,1 1,41,1 1,41,1 1,41,1 1,41,1 12,0,2 1,41,1 0,0,0 2,41,1
1,43,1 12,0,2 0,0,0 14,0,2 1,43,1 0,0,0 1,43,1 0,0,0 1,43,1
1,40,1 12,0,2 1,40,1 4,40,1 3,40,1 1,40,1 1,40,1 0,0,0 3,40,1
0,0,0 0,0,0 0,0,0 0,0,0 0,0,0 0,0,0 0,0,0 0,0,0 0,0,0
0,0,0 0,0,0 0,0,0 0,0,0 0,0,0 0,0,0 0,0,0 0,0,0 0,0,0
0,0,0 0,0,0 0,0,0 0,0,0 0,0,0 0,0,0 0,0,0 0,0,0 0,0,0
