MODE 0
BALL 50
STARS 0/1500/2550
ADDLINE 0,0,0 0,0,0 1,70,1 0,0,0 0,0,0 12,0,2 0,0,0 0,0,0 1,70,1
ADDLINE 1,71,1 12,0,2 0,0,0 0,0,0 0,0,0 1,71,1 0,0,0 3,71,1 0,0,0
ADDLINE 1,72,1 1,72,1 4,72,1 0,0,0 12,0,2 1,72,1 0,0,0 1,72,1 0,0,0
ADDLINE 1,80,1 1,80,1 0,0,0 4,80,1 1,80,1 1,80,1 12,0,2 1,80,1 0,0,0
ADDLINE 2,81,1 1,81,1 12,0,2 0,0,0 1,81,1 1,81,1 0,0,0 1,81,1 0,0,0
ADDLINE 1,89,1 3,89,1 1,89,1 0,0,0 4,89,1 12,0,2 1,89,1 1,89,1 0,0,0
ADDLINE 1,119,1 1,119,1 1,119,1 12,0,2 1,119,1 1,119,1 3,119,1 0,0,0 0,0,0
ADDLINE 1,121,1 0,0,0 0,0,0 12,0,2 1,121,1 4,121,1 0,0,0 1,121,1 1,121,1
ADDLINE 1,123,1 0,0,0 3,123,1 1,123,1 12,0,2 0,0,0 0,0,0 5,123,1 1,123,1
0,0,0 1,62,1 1,62,1 1,62,1 12,0,2 1,62,1 0,0,0 2,62,1 1,62,1
0,0,0 0,0,0 0,0,0 6,61,1 0,0,0 1,61,1 0,0,0 0,0,0 12,0,2
1,54,1 1,54,1 12,0,2 3,54,1 1,54,1 4,54,1 1,54,1 1,54,1 3,54,1
0,0,0 1,59,1 0,0,0 5,59,1 12,0,2 0,0,0 0,0,0 0,0,0 0,0,0
0,0,0 4,58,1 0,0,0 1,58,1 0,0,0 1,58,1 1,58,1 1,58,1 12,0,2
0,0,0 1,57,1 0,0,0 1,57,1 12,0,2 1,57,1 0,0,0 0,0,0 0,0,0
0,0,0 0,0,0 0,0,0 0,0,0 0,0,0 0,0,0 0,0,0 0,0,0 0,0,0
0,0,0 0,0,0 0,0,0 0,0,0 0,0,0 0,0,0 0,0,0 0,0,0 0,0,0
0,0,0 0,0,0 0,0,0 0,0,0 0,0,0 0,0,0 0,0,0 0,0,0 0,0,0
